"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES"
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1920-01-01","0.00","T,,0","0.0","T,,0","0.0",",,0",,,"42",",,0","12",",,0",,,,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1920-01-02","0.00","T,,0","0.0","T,,0","0.0",",,0",,,"16",",,0","4",",,0",,,,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1920-01-03","0.00","T,,0","0.0","T,,0","0.0",",,0",,,"9",",,0","-1",",,0",,,,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1920-01-04","0.00","T,,0","0.0","T,,0","0.0",",,0",,,"19",",,0","4",",,0",,,,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1920-01-05","0.00",",,0","0.0",",,0","0.0",",,0",,,"24",",,0","1",",,0",,,,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1920-01-06","0.00",",,0","0.0",",,0","0.0",",,0",,,"33",",,0","16",",,0",,,,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1920-01-07","0.00","T,,0","0.0","T,,0","0.0",",,0",,,"39",",,0","31",",,0",,,,,,,"    1",",,0",,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1920-01-08","1.10",",,0","5.1",",,0","5.0",",,0",,,"38",",,0","29",",,0",,,,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1920-01-09","0.67",",,0","1.0",",,0","0.0",",,0",,,"32",",,0","24",",,0",,,,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1920-01-10","0.00","T,,0","0.0",",,0","0.0",",,0",,,"28",",,0","21",",,0",,,,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1920-01-11","0.08",",,0","0.8",",,0","0.0",",,0",,,"32",",,0","14",",,0",,,,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1920-01-12","0.00",",,0","0.0",",,0","0.0",",,0",,,"30",",,0","13",",,0",,,,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1920-01-13","0.00",",,0","0.0",",,0","0.0",",,0",,,"37",",,0","24",",,0",,,,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1920-01-14","0.00",",,0","0.0",",,0","0.0",",I,0",,,"26",",,0","11",",,0",,,,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1920-01-15","0.13",",,0","1.3",",I,0","6.0",",I,0",,,"23",",,0","16",",,0",,,,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1920-01-16","0.31",",,0","2.6",",,0","8.0",",,0",,,"38",",,0","12",",,0",,,,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1920-01-17","0.00","T,,0","0.0","T,,0","0.0",",,0",,,"38",",,0","6",",,0",,,,,,,"    1",",,0",,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1920-01-18","0.00","T,,0","0.0","T,,0","0.0",",,0",,,"15",",,0","4",",,0",,,,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1920-01-19","0.13",",,0","1.3",",,0","0.0",",I,0",,,"36",",,0","12",",,0",,,,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1920-01-20","0.00","T,,0","0.0",",I,0","3.0",",I,0",,,"51",",,0","11",",,0",,,,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1920-01-21","0.01",",,0","0.0",",,0","3.0",",,0",,,"42",",,0","20",",,0",,,,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1920-01-22","0.12",",,0","0.0",",,0","1.0",",I,0",,,"26",",,0","14",",,0",,,,,,,"    1",",,0",,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1920-01-23","0.30",",,0","0.0",",I,0","3.0",",I,0",,,"32",",,0","25",",,0",,,,,,,"    1",",,0",,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1920-01-24","0.01",",,0","0.1",",,0","0.0",",,0",,,"32",",,0","13",",,0",,,,,,,"    1",",,0",,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1920-01-25","0.00",",,0","0.0",",,0","0.0",",I,0",,,"18",",,0","5",",,0",,,,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1920-01-26","0.00",",,0","0.0",",I,0","2.0",",I,0",,,"39",",,0","5",",,0",,,,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1920-01-27","0.00",",,0","0.0",",,0","2.0",",,0",,,"43",",,0","27",",,0",,,,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1920-01-28","0.00",",,0","0.0",",,0","0.0",",,0",,,"33",",,0","19",",,0",,,,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1920-01-29","0.00",",,0","0.0",",,0","0.0",",,0",,,"36",",,0","9",",,0",,,,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1920-01-30","0.00",",,0","0.0",",,0","1.0",",,0",,,"44",",,0","28",",,0",,,,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1920-01-31","0.00",",,0","0.0",",,0","1.0",",,0",,,"31",",,0","10",",,0",,,,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1920-02-01","0.00",",,0","0.0",",,0","0.0","T,,0",,,"44",",,0","20",",,0",,,,,,,,,,,"    1",",,0",,,,,,,,
